 #Air Temperature Distribution
 #Number of hourly occurences
 #Temperatures degree Celsius top row (-30 to -25...-25 to -20,...
Month/Year,-30,-25,-20,-15,-10, -5,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45
8/1990,  0,  0,  0,  0,  0,  0,  0,  0,  0, 39,171,340,194,  0,  0,  0
9/1990,  0,  0,  0,  0,  0,  0,  0, 12, 30, 74,245,270, 89,  0,  0,  0
10/1990,  0,  0,  0,  0,  0,  0, 25, 96,185,185,145, 98, 10,  0,  0,  0
11/1990,  0,  0,  0,  0,  0,  5, 48,146,219,190, 95, 17,  0,  0,  0,  0
12/1990,  0,  0,  0,  0,  0, 79,139,119,140,204, 63,  0,  0,  0,  0,  0
1/1991,  0,  0,  0,  0,  0, 43,201,257,198, 43,  2,  0,  0,  0,  0,  0
2/1991,  0,  0,  0,  0,  0, 36,101,163,223,140,  9,  0,  0,  0,  0,  0
3/1991,  0,  0,  0,  0,  0,  0, 64,154,204,196, 96, 30,  0,  0,  0,  0
4/1991,  0,  0,  0,  0,  0,  0,  1, 33, 95,242,295, 54,  0,  0,  0,  0
5/1991,  0,  0,  0,  0,  0,  0,  0,  6,  9,146,408,175,  0,  0,  0,  0
6/1991,  0,  0,  0,  0,  0,  0,  0,  0,  1, 33,319,352, 15,  0,  0,  0
7/1991,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,247,424, 73,  0,  0,  0
8/1991,  0,  0,  0,  0,  0,  0,  0,  0,  0, 17,289,396, 42,  0,  0,  0
9/1991,  0,  0,  0,  0,  0,  0,  0, 23, 68, 93,262,244, 30,  0,  0,  0
10/1991,  0,  0,  0,  0,  0,  0,  6, 62,112,252,233, 79,  0,  0,  0,  0
11/1991,  0,  0,  0,  0,  0, 73,152,157,159,123, 56,  0,  0,  0,  0,  0
12/1991,  0,  0,  0,  0,  0, 29,140,246,184,123, 22,  0,  0,  0,  0,  0
1/1992,  0,  0,  0,  0,  1, 86,186,243,196, 32,  0,  0,  0,  0,  0,  0
2/1992,  0,  0,  0,  0,  0, 16, 88,220,191,157, 24,  0,  0,  0,  0,  0
3/1992,  0,  0,  0,  0,  0, 10, 72,156,239,198, 69,  0,  0,  0,  0,  0
4/1992,  0,  0,  0,  0,  0,  2, 20, 97,173,217,174, 37,  0,  0,  0,  0
5/1992,  0,  0,  0,  0,  0,  0,  7, 21, 74,220,263,159,  0,  0,  0,  0
6/1992,  0,  0,  0,  0,  0,  0,  0,  0,  0, 82,300,287, 51,  0,  0,  0
7/1992,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,284,348,112,  0,  0,  0
8/1992,  0,  0,  0,  0,  0,  0,  0,  0,  9, 59,321,308, 47,  0,  0,  0
9/1992,  0,  0,  0,  0,  0,  0,  0,  7, 21,121,323,235, 13,  0,  0,  0
10/1992,  0,  0,  0,  0,  0,  0,  3, 34,163,274,221, 49,  0,  0,  0,  0
11/1992,  0,  0,  0,  0,  0, 21,121,217,156,168, 36,  1,  0,  0,  0,  0
12/1992,  0,  0,  0,  0,  0,  8,166,206,240,109, 15,  0,  0,  0,  0,  0
1/1993,  0,  0,  0,  0,  0, 17,115,266,249, 93,  4,  0,  0,  0,  0,  0
2/1993,  0,  0,  0,  0,  0, 49,130,253,176, 57,  7,  0,  0,  0,  0,  0
3/1993,  0,  0,  0,  0,  8, 37, 70,196,236,145, 52,  0,  0,  0,  0,  0
4/1993,  0,  0,  0,  0,  0,  0, 18,146,246,184,118,  8,  0,  0,  0,  0
5/1993,  0,  0,  0,  0,  0,  0,  0,  4, 71,275,280,114,  0,  0,  0,  0
6/1993,  0,  0,  0,  0,  0,  0,  0,  0, 10, 35,314,298, 63,  0,  0,  0
7/1993,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,214,395,135,  0,  0,  0
8/1993,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,172,402,170,  0,  0,  0
9/1993,  0,  0,  0,  0,  0,  0,  0,  1, 28,101,295,255, 40,  0,  0,  0
10/1993,  0,  0,  0,  0,  0,  3, 41, 51,139,277,151, 82,  0,  0,  0,  0
11/1993,  0,  0,  0,  0,  0, 26,118,191,169,150, 65,  1,  0,  0,  0,  0
12/1993,  0,  0,  0,  0,  0, 65,204,227,154, 91,  3,  0,  0,  0,  0,  0
1/1994,  0,  0,  0,  0, 10,143,216,228, 83, 55,  9,  0,  0,  0,  0,  0
2/1994,  0,  0,  0,  0,  0, 69,141,135,129,164, 34,  0,  0,  0,  0,  0
